issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,"To get your access back, a member of your organization who has Admin or Owner rights will need to re‑assign you a seat.

**What an Admin/Owner should do**

1. Open **Organization settings > Organization** (or **Settings > Members** in the Console).  
2. Locate your user name in the member list.  
3. Click the dropdown under **Seat Type**.  
4. Choose the appropriate seat – **Chat** or **Chat + Claude Code** – depending on the level of access you need.  

*If the organization has run out of seats of the selected type, the admin will be prompted to purchase an additional seat before the assignment can be completed.*

**Alternative (temporary) option**  
If the admin only wants to pause your access without removing you from the organization, they can select **“Unassigned”** from the same dropdown. This keeps you in the org but blocks Claude usage until a seat is re‑assigned.

**Next steps for you**  
Since you’re not an admin or owner, please reach out to one of the admins/owners in your organization and ask them to follow the steps above to re‑assign you a seat. Once the seat is assigned, you’ll regain access to the Claude team workspace.",access,replied,product_issue,"User reports loss of access to a Claude team workspace after admin removal and requests restoration. This is a standard access issue, not a security breach, so it is classified as a low‑risk product issue."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"HackerRank does not have any control over the test results or hiring decisions. If you believe the review outcome needs reconsideration, you’ll need to contact the recruiter or hiring team that administered the assessment. You can also reach out to help@hackerrank.com to request a review of the contest, but any changes to your score or progression in the hiring process must be handled by the company that gave you the test.",assessments,replied,product_issue,"The user is disputing a test score on HackerRank and requesting a manual review and score adjustment. This pertains to the assessments product area and is a typical product issue, not a bug or feature request. No security or fraud concerns are present, so the risk is low."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,"If you have a problem with a merchant—such as receiving the wrong product and not receiving a response—you can take action right away by completing the merchant‑concern form:

**[Fill out the merchant‑concern form here](/Forms/visa-rules.html)**  

You can also dispute the charge directly with the bank or issuer that provided your Visa card. Call the free‑phone number on the front or back of your card (free when dialing from within the USA) and provide the transaction details so they can begin the dispute process.",merchant dispute / refund request,replied,product_issue,"The user reports a transaction issue with a Visa purchase and requests a refund and merchant ban. This is a Visa-related merchant dispute, not a bug or feature request, and carries moderate financial risk."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"If you’re not satisfied with your mock interview, please email **help@hackerrank.com**. The support team will promptly review your request and process a refund if appropriate.",mock interviews,replied,product_issue,"The user reports that their mock interview sessions stopped unexpectedly and requests a refund. This is a direct issue with a HackerRank product (mock interviews), fitting the product_issue category with low risk."
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,,billing,escalated,product_issue,Escalated because no exact answer found or human intervention required.
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,,infosec compliance,escalated,product_issue,Escalated because no exact answer found or human intervention required.
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"The **Apply** tab is no longer available. It has been deprecated, and the related **Job listings** feature has been removed as part of that change. If you need further assistance, you can contact HackerRank Support at help@hackerrank.com.",assessments,replied,product_issue,"User reports missing 'apply' tab and submissions not working on HackerRank practice, indicating a functional issue with the assessments area."
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"Here are the steps you can follow to resolve the issue with submissions not working:

1. **Check the leaderboard** – Leaderboards may take some time to refresh. If your result isn’t appearing right away, it could still be processing.

2. **Confirm you are using the correct account** – Log in to the **same HackerRank Community account** you used to take the challenge. Results and submissions do not appear across different accounts.

3. **If the problem persists** – Contact HackerRank support at **help@hackerrank.com** for further assistance.  

These actions should help you identify and resolve the submission issue. If you continue to experience technical glitches, the support team can investigate the assessment workflow error.",submissions,replied,bug,"User reports that submissions for all challenges are failing, indicating a functional bug in the assessment platform. No security or fraud concerns are evident."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"We recommend the following steps to resolve the compatibility‑check issue you’re seeing with Zoom:

1. **Use a supported browser** – make sure you’re running the test in one of the browsers listed in our [browser recommendations](https://candidatesupport.hackerrank.com/articles/8455316478-browser-recommendations-for-hackerrank-interviews).

2. **Run the System Compatibility Check** – go to the [compatibility page](https://www.hackerrank.com/compatibility) and run the check again. This will identify any remaining browser, network, or device problems.

3. **Check your network coverage** – ensure you have a stable internet connection. You can also use the same compatibility link to verify connectivity.

4. **If the test is proctored** – sit in a well‑lit area and face straight at the camera, as poor lighting can affect Zoom connectivity.

5. **Log in early** – sign in at least a few minutes before the test’s expiration time so you have enough time to complete the confirmation form and any final checks.

If you have followed these steps and the Zoom connectivity error still persists, please contact our support team at **support@hackerrank.com**. Include your interview link in the email so we can investigate further.",access,replied,product_issue,"User reports a technical blocker during the compatibility check (Zoom connectivity) that prevents them from taking a test on HackerRank. This is a product issue related to test access, with no security or fraud concerns, thus low risk."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,You can reschedule your assessment by following the steps in our “Reschedule an interview” guide here: https://support.hackerrank.com/articles/2342466364-rescheduling-an-interview. This article outlines how to request a new date and time for your HackerRank assessment.,assessment scheduling,replied,product_issue,"The user is asking to reschedule a HackerRank assessment for their company. This is a standard support request related to the assessments product area, with no security or fraud concerns."
